Concessao,Nome,Subestacao_A,Subestacao_B,Hora,Valor_A,Valor_B
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-07 22:00:00,424.5441,-420.0058
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-07 23:00:00,366.531,-362.2057
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 00:00:00,196.7678,-195.7095
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 01:00:00,265.5814,-265.7278
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 02:00:00,267.7817,-264.9329
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 03:00:00,290.0847,-287.5474
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 04:00:00,263.207,-259.5156
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 05:00:00,318.3462,-317.8398
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 06:00:00,256.7535,-254.6495
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 07:00:00,276.1383,-277.0845
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 08:00:00,374.5185,-374.589
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 09:00:00,422.4081,-417.4328
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 10:00:00,578.1152,-575.8185
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 11:00:00,584.4224,-585.0048
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 12:00:00,585.585,-583.3811
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 13:00:00,572.7794,-568.5937
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 14:00:00,505.0409,-502.5524
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 15:00:00,513.7393,-510.5594
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 16:00:00,400.8877,-395.4877
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 17:00:00,345.8453,-343.5274
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 18:00:00,357.1667,-355.0282
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 19:00:00,317.2938,-311.1976
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 20:00:00,342.1006,-341.4669
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 21:00:00,398.9298,-394.6886
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 22:00:00,372.8447,-371.8499
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-08 23:00:00,327.5406,-323.5291
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 00:00:00,212.2071,-209.1016
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 01:00:00,175.0119,-173.5753
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 02:00:00,205.2952,-202.0202
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 03:00:00,76.0216,-74.3003
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 04:00:00,-5.7146,0.0
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 05:00:00,-35.4832,35.8235
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 06:00:00,34.2783,-33.7316
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 07:00:00,162.8076,-163.0165
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 08:00:00,339.2389,-340.2776
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 09:00:00,482.4909,-486.1211
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 10:00:00,580.9482,-580.1119
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 11:00:00,624.9674,-624.3515
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 12:00:00,641.6793,-638.3644
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 13:00:00,622.6474,-618.8369
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 14:00:00,580.5826,-577.1806
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 15:00:00,512.1596,-508.7003
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 16:00:00,512.6337,-508.3997
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 17:00:00,560.2269,-562.3812
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 18:00:00,369.856,-373.4281
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 19:00:00,349.2613,-346.7935
LTT,LT 500KV EMBO/UHNP C2,SE EMBO,SE UHNP,2022-01-09 20:00:00,425.7479,-423.9448
